mask,image,road_pixels,outside_pixels
000071.png,yolo_lane_following/dataset/images/train/s00_000084.jpg,31153,3204
000072.png,yolo_lane_following/dataset/images/train/s00_000084_obs.jpg,30893,3472
000073.png,yolo_lane_following/dataset/images/train/s00_000086.jpg,31408,2928
000074.png,yolo_lane_following/dataset/images/train/s00_000086_obs.jpg,31078,3267
000075.png,yolo_lane_following/dataset/images/train/s00_000088.jpg,30697,3621
000076.png,yolo_lane_following/dataset/images/train/s00_000090.jpg,30745,3485
000077.png,yolo_lane_following/dataset/images/train/s00_000090_obs.jpg,30485,3753
000078.png,yolo_lane_following/dataset/images/train/s00_000092.jpg,30135,3971
000079.png,yolo_lane_following/dataset/images/train/s00_000094.jpg,29811,4531
000080.png,yolo_lane_following/dataset/images/train/s00_000096.jpg,30316,4483
000081.png,yolo_lane_following/dataset/images/train/s00_000098.jpg,30382,4408
000082.png,yolo_lane_following/dataset/images/train/s00_000098_obs.jpg,30520,4282
000083.png,yolo_lane_following/dataset/images/train/s00_000100.jpg,30764,4300
000084.png,yolo_lane_following/dataset/images/train/s00_000102.jpg,30745,4308
000085.png,yolo_lane_following/dataset/images/train/s00_000102_obs.jpg,30379,4244
000086.png,yolo_lane_following/dataset/images/train/s00_000104.jpg,31282,3871
000087.png,yolo_lane_following/dataset/images/train/s00_000104_obs.jpg,31282,3871
000088.png,yolo_lane_following/dataset/images/train/s00_000106.jpg,31476,3715
000089.png,yolo_lane_following/dataset/images/train/s00_000106_obs.jpg,31505,3684
000090.png,yolo_lane_following/dataset/images/train/s00_000108.jpg,32436,2980
000091.png,yolo_lane_following/dataset/images/train/s00_000108_obs.jpg,32436,2980
000092.png,yolo_lane_following/dataset/images/train/s00_000110.jpg,32559,2748
000093.png,yolo_lane_following/dataset/images/train/s00_000110_obs.jpg,32091,3225
000094.png,yolo_lane_following/dataset/images/train/s00_000112.jpg,32520,2846
000095.png,yolo_lane_following/dataset/images/train/s00_000112_obs.jpg,32350,3042
000096.png,yolo_lane_following/dataset/images/train/s00_000114.jpg,32400,2944
000097.png,yolo_lane_following/dataset/images/train/s00_000114_obs.jpg,32400,2944
000098.png,yolo_lane_following/dataset/images/train/s00_000116.jpg,32187,3098
000099.png,yolo_lane_following/dataset/images/train/s00_000116_obs.jpg,32187,3098
000100.png,yolo_lane_following/dataset/images/train/s00_000118.jpg,31963,3217
000101.png,yolo_lane_following/dataset/images/train/s00_000118_obs.jpg,31528,3217
000102.png,yolo_lane_following/dataset/images/train/s00_000120.jpg,31867,3299
000103.png,yolo_lane_following/dataset/images/train/s00_000120_obs.jpg,31867,3299
000104.png,yolo_lane_following/dataset/images/train/s00_000122.jpg,31514,3559
000105.png,yolo_lane_following/dataset/images/train/s00_000124.jpg,31691,3566
000106.png,yolo_lane_following/dataset/images/train/s00_000124_obs.jpg,31511,3364
000107.png,yolo_lane_following/dataset/images/train/s00_000126.jpg,31057,4184
000108.png,yolo_lane_following/dataset/images/train/s00_000126_obs.jpg,31437,3927
000109.png,yolo_lane_following/dataset/images/train/s00_000128.jpg,31145,4158
000110.png,yolo_lane_following/dataset/images/train/s00_000130.jpg,30799,4471
000111.png,yolo_lane_following/dataset/images/train/s00_000130_obs.jpg,30799,4471
000112.png,yolo_lane_following/dataset/images/train/s00_000132.jpg,30683,4326
000113.png,yolo_lane_following/dataset/images/train/s00_000132_obs.jpg,30683,4326
000114.png,yolo_lane_following/dataset/images/train/s00_000134.jpg,30575,4569
000115.png,yolo_lane_following/dataset/images/train/s00_000134_obs.jpg,30575,4569
000116.png,yolo_lane_following/dataset/images/train/s00_000136.jpg,30177,4973
000117.png,yolo_lane_following/dataset/images/train/s00_000138.jpg,29992,4718
000118.png,yolo_lane_following/dataset/images/train/s00_000138_obs.jpg,29992,4718
000119.png,yolo_lane_following/dataset/images/train/s00_000140.jpg,29750,4923
000120.png,yolo_lane_following/dataset/images/train/s00_000140_obs.jpg,29456,5224
000121.png,yolo_lane_following/dataset/images/train/s00_000142.jpg,29380,5498
000122.png,yolo_lane_following/dataset/images/train/s00_000142_obs.jpg,29380,5498
000123.png,yolo_lane_following/dataset/images/train/s00_000144.jpg,29379,5566
000124.png,yolo_lane_following/dataset/images/train/s00_000146.jpg,29894,5103
000125.png,yolo_lane_following/dataset/images/train/s00_000148.jpg,30155,4914
000126.png,yolo_lane_following/dataset/images/train/s00_000148_obs.jpg,29776,4914
000127.png,yolo_lane_following/dataset/images/train/s00_000150.jpg,29511,5593
000128.png,yolo_lane_following/dataset/images/train/s00_000150_obs.jpg,29511,5593
000129.png,yolo_lane_following/dataset/images/train/s00_000152.jpg,29029,6012
000130.png,yolo_lane_following/dataset/images/train/s00_000152_obs.jpg,29419,5807
000131.png,yolo_lane_following/dataset/images/train/s00_000154.jpg,28759,6159
000132.png,yolo_lane_following/dataset/images/train/s00_000154_obs.jpg,28725,6198
000133.png,yolo_lane_following/dataset/images/train/s00_000156.jpg,28379,6528
000134.png,yolo_lane_following/dataset/images/train/s00_000156_obs.jpg,28109,6430
000135.png,yolo_lane_following/dataset/images/train/s00_000158.jpg,29118,5697
000136.png,yolo_lane_following/dataset/images/train/s00_000160.jpg,29032,5810
000137.png,yolo_lane_following/dataset/images/train/s00_000160_obs.jpg,28664,6183
000138.png,yolo_lane_following/dataset/images/train/s00_000162.jpg,26952,6094
000139.png,yolo_lane_following/dataset/images/train/s00_000162_obs.jpg,26952,6094
000140.png,yolo_lane_following/dataset/images/train/s00_000164.jpg,28545,6380
000141.png,yolo_lane_following/dataset/images/train/s00_000164_obs.jpg,28241,6380
000142.png,yolo_lane_following/dataset/images/train/s00_000166.jpg,28857,5984
000143.png,yolo_lane_following/dataset/images/train/s00_000166_obs.jpg,28934,5895
000144.png,yolo_lane_following/dataset/images/train/s00_000168.jpg,28924,6038
000145.png,yolo_lane_following/dataset/images/train/s00_000170.jpg,29388,5487
000146.png,yolo_lane_following/dataset/images/train/s00_000170_obs.jpg,29388,5487
000147.png,yolo_lane_following/dataset/images/train/s00_000172.jpg,29795,5247
000148.png,yolo_lane_following/dataset/images/train/s00_000172_obs.jpg,29795,5247
000149.png,yolo_lane_following/dataset/images/train/s00_000174.jpg,28946,6200
000150.png,yolo_lane_following/dataset/images/train/s00_000174_obs.jpg,28946,6200
000151.png,yolo_lane_following/dataset/images/train/s00_000176.jpg,27826,6907
000152.png,yolo_lane_following/dataset/images/train/s00_000176_obs.jpg,27436,6907
000153.png,yolo_lane_following/dataset/images/train/s00_000178.jpg,28038,6771
000154.png,yolo_lane_following/dataset/images/train/s00_000180.jpg,27847,7054
000155.png,yolo_lane_following/dataset/images/train/s00_000182.jpg,27605,7211
000156.png,yolo_lane_following/dataset/images/train/s00_000182_obs.jpg,27200,7211
000157.png,yolo_lane_following/dataset/images/train/s00_000184.jpg,25999,7490
000158.png,yolo_lane_following/dataset/images/train/s00_000184_obs.jpg,25999,7490
000159.png,yolo_lane_following/dataset/images/train/s00_000186.jpg,28565,6404
000160.png,yolo_lane_following/dataset/images/train/s00_000186_obs.jpg,28565,6404
000161.png,yolo_lane_following/dataset/images/train/s00_000188.jpg,29177,5837
000162.png,yolo_lane_following/dataset/images/train/s00_000190.jpg,25150,6636
000163.png,yolo_lane_following/dataset/images/train/s00_000192.jpg,25852,7766
000164.png,yolo_lane_following/dataset/images/train/s00_000194.jpg,26764,7787
000165.png,yolo_lane_following/dataset/images/train/s00_000196.jpg,27782,7117
000166.png,yolo_lane_following/dataset/images/train/s00_000196_obs.jpg,27532,7117
000167.png,yolo_lane_following/dataset/images/train/s00_000198.jpg,27218,7394
000168.png,yolo_lane_following/dataset/images/train/s00_000198_obs.jpg,27452,7171
000169.png,yolo_lane_following/dataset/images/train/s00_000200.jpg,26787,8206
000170.png,yolo_lane_following/dataset/images/train/s00_000200_obs.jpg,27169,7860
000171.png,yolo_lane_following/dataset/images/train/s00_000202.jpg,26026,8766
000172.png,yolo_lane_following/dataset/images/train/s00_000202_obs.jpg,26048,8763
000173.png,yolo_lane_following/dataset/images/train/s00_000204.jpg,25709,9192
000174.png,yolo_lane_following/dataset/images/train/s00_000204_obs.jpg,25709,9192
000175.png,yolo_lane_following/dataset/images/train/s00_000206.jpg,25269,9395
000176.png,yolo_lane_following/dataset/images/train/s00_000206_obs.jpg,25269,9395
000177.png,yolo_lane_following/dataset/images/train/s00_000208.jpg,25601,9341
000178.png,yolo_lane_following/dataset/images/train/s00_000210.jpg,25804,8969
000179.png,yolo_lane_following/dataset/images/train/s00_000212.jpg,25511,9219
000180.png,yolo_lane_following/dataset/images/train/s00_000212_obs.jpg,25511,9219
000181.png,yolo_lane_following/dataset/images/train/s00_000214.jpg,24771,10147
000182.png,yolo_lane_following/dataset/images/train/s00_000216.jpg,22570,11847
000183.png,yolo_lane_following/dataset/images/train/s00_000216_obs.jpg,22572,11839
000184.png,yolo_lane_following/dataset/images/train/s00_000218.jpg,22354,12832
000185.png,yolo_lane_following/dataset/images/train/s00_000218_obs.jpg,22272,12773
000186.png,yolo_lane_following/dataset/images/train/s00_000220.jpg,19669,14516
000187.png,yolo_lane_following/dataset/images/train/s00_000220_obs.jpg,8927,15055
000188.png,yolo_lane_following/dataset/images/train/s00_000222.jpg,22204,12691
000189.png,yolo_lane_following/dataset/images/train/s00_000222_obs.jpg,21825,12515
000190.png,yolo_lane_following/dataset/images/train/s00_000224.jpg,23987,10172
000191.png,yolo_lane_following/dataset/images/train/s00_000224_obs.jpg,23794,10373
000192.png,yolo_lane_following/dataset/images/train/s00_000226.jpg,24722,10062
000193.png,yolo_lane_following/dataset/images/train/s00_000226_obs.jpg,24572,10062
000194.png,yolo_lane_following/dataset/images/train/s00_000228.jpg,24430,9440
000195.png,yolo_lane_following/dataset/images/train/s00_000230.jpg,26235,8692
000196.png,yolo_lane_following/dataset/images/train/s00_000232.jpg,24851,9839
000197.png,yolo_lane_following/dataset/images/train/s00_000232_obs.jpg,24851,9839
000198.png,yolo_lane_following/dataset/images/train/s00_000234.jpg,24767,10187
000199.png,yolo_lane_following/dataset/images/train/s00_000234_obs.jpg,24549,10016
000200.png,yolo_lane_following/dataset/images/train/s00_000236.jpg,25929,9239
000201.png,yolo_lane_following/dataset/images/train/s00_000238.jpg,23841,10952
000202.png,yolo_lane_following/dataset/images/train/s00_000240.jpg,22337,12349
000203.png,yolo_lane_following/dataset/images/train/s00_000242.jpg,23558,10936
000204.png,yolo_lane_following/dataset/images/train/s00_000242_obs.jpg,23566,10929
000205.png,yolo_lane_following/dataset/images/train/s00_000244.jpg,24391,10195
000206.png,yolo_lane_following/dataset/images/train/s00_000244_obs.jpg,24559,10034
000207.png,yolo_lane_following/dataset/images/train/s00_000246.jpg,23801,10879
000208.png,yolo_lane_following/dataset/images/train/s00_000246_obs.jpg,23803,10878
000209.png,yolo_lane_following/dataset/images/train/s00_000248.jpg,22532,12161
000210.png,yolo_lane_following/dataset/images/train/s00_000248_obs.jpg,22352,12340
000211.png,yolo_lane_following/dataset/images/train/s00_000250.jpg,22877,11762
000212.png,yolo_lane_following/dataset/images/train/s00_000252.jpg,20093,11887
000213.png,yolo_lane_following/dataset/images/train/s00_000254.jpg,12334,12515
000214.png,yolo_lane_following/dataset/images/train/s00_000256.jpg,19619,12600
000215.png,yolo_lane_following/dataset/images/train/s00_000256_obs.jpg,19710,12538
000216.png,yolo_lane_following/dataset/images/train/s00_000258.jpg,20771,11857
000217.png,yolo_lane_following/dataset/images/train/s00_000258_obs.jpg,20771,11517
000218.png,yolo_lane_following/dataset/images/train/s00_000260.jpg,19955,12185
000219.png,yolo_lane_following/dataset/images/train/s00_000260_obs.jpg,19886,12251
000220.png,yolo_lane_following/dataset/images/train/s00_000262.jpg,22850,11943
000221.png,yolo_lane_following/dataset/images/train/s00_000264.jpg,22993,11640
000222.png,yolo_lane_following/dataset/images/train/s00_000264_obs.jpg,23276,11356
000223.png,yolo_lane_following/dataset/images/train/s00_000266.jpg,22895,11539
000224.png,yolo_lane_following/dataset/images/train/s00_000266_obs.jpg,22886,11554
000225.png,yolo_lane_following/dataset/images/train/s00_000268.jpg,22448,12177
000226.png,yolo_lane_following/dataset/images/train/s00_000268_obs.jpg,22561,12109
000227.png,yolo_lane_following/dataset/images/train/s00_000270.jpg,20291,14474
000228.png,yolo_lane_following/dataset/images/train/s00_000270_obs.jpg,20291,14266
000229.png,yolo_lane_following/dataset/images/train/s00_000272.jpg,0,15152
000230.png,yolo_lane_following/dataset/images/train/s00_000272_obs.jpg,0,14850
000231.png,yolo_lane_following/dataset/images/train/s00_000274.jpg,0,11967
000232.png,yolo_lane_following/dataset/images/train/s00_000276.jpg,24684,10171
000233.png,yolo_lane_following/dataset/images/train/s00_000278.jpg,24697,10085
000234.png,yolo_lane_following/dataset/images/train/s00_000280.jpg,24933,9993
000235.png,yolo_lane_following/dataset/images/train/s00_000282.jpg,24972,9744
000236.png,yolo_lane_following/dataset/images/train/s00_000282_obs.jpg,25277,9461
000237.png,yolo_lane_following/dataset/images/train/s00_000284.jpg,25549,9191
000238.png,yolo_lane_following/dataset/images/train/s00_000286.jpg,25981,8709
000239.png,yolo_lane_following/dataset/images/train/s00_000286_obs.jpg,25759,8709
000240.png,yolo_lane_following/dataset/images/train/s00_000288.jpg,25683,8700
000241.png,yolo_lane_following/dataset/images/train/s00_000288_obs.jpg,25198,8697
000242.png,yolo_lane_following/dataset/images/train/s00_000290.jpg,25966,8690
000243.png,yolo_lane_following/dataset/images/train/s00_000290_obs.jpg,25966,8690
000244.png,yolo_lane_following/dataset/images/train/s00_000292.jpg,26343,8366
000245.png,yolo_lane_following/dataset/images/train/s00_000292_obs.jpg,26169,8558
000246.png,yolo_lane_following/dataset/images/train/s00_000294.jpg,26779,8056
000247.png,yolo_lane_following/dataset/images/train/s00_000296.jpg,25322,9193
000248.png,yolo_lane_following/dataset/images/train/s00_000298.jpg,25949,9092
000249.png,yolo_lane_following/dataset/images/train/s00_000300.jpg,25413,9443
000250.png,yolo_lane_following/dataset/images/train/s00_000300_obs.jpg,25619,9251
000251.png,yolo_lane_following/dataset/images/train/s00_000302.jpg,25111,9747
000252.png,yolo_lane_following/dataset/images/train/s00_000304.jpg,25323,9243
000253.png,yolo_lane_following/dataset/images/train/s00_000304_obs.jpg,25150,9069
000254.png,yolo_lane_following/dataset/images/train/s00_000306.jpg,25318,8954
000255.png,yolo_lane_following/dataset/images/train/s00_000306_obs.jpg,25032,8954
000256.png,yolo_lane_following/dataset/images/train/s00_000308.jpg,25448,8973
000257.png,yolo_lane_following/dataset/images/train/s00_000308_obs.jpg,25230,8873
000258.png,yolo_lane_following/dataset/images/train/s00_000310.jpg,24171,10460
000259.png,yolo_lane_following/dataset/images/train/s00_000310_obs.jpg,24504,10169
000260.png,yolo_lane_following/dataset/images/train/s00_000312.jpg,25202,9341
000261.png,yolo_lane_following/dataset/images/train/s00_000312_obs.jpg,25202,9341
000262.png,yolo_lane_following/dataset/images/train/s00_000314.jpg,24827,9751
000263.png,yolo_lane_following/dataset/images/train/s00_000314_obs.jpg,24628,9974
000264.png,yolo_lane_following/dataset/images/train/s00_000316.jpg,23707,10823
000265.png,yolo_lane_following/dataset/images/train/s00_000318.jpg,23398,11096
000266.png,yolo_lane_following/dataset/images/train/s00_000318_obs.jpg,23650,10882
000267.png,yolo_lane_following/dataset/images/train/s00_000320.jpg,23641,11075
000268.png,yolo_lane_following/dataset/images/train/s00_000320_obs.jpg,23618,10818
000269.png,yolo_lane_following/dataset/images/train/s00_000322.jpg,23097,11106
000270.png,yolo_lane_following/dataset/images/train/s00_000322_obs.jpg,23097,11106
000271.png,yolo_lane_following/dataset/images/train/s00_000324.jpg,23337,10921
000272.png,yolo_lane_following/dataset/images/train/s00_000326.jpg,23063,10965
000273.png,yolo_lane_following/dataset/images/train/s00_000326_obs.jpg,22704,11297
000274.png,yolo_lane_following/dataset/images/train/s00_000328.jpg,23611,10411
000275.png,yolo_lane_following/dataset/images/train/s00_000330.jpg,23827,10550
000276.png,yolo_lane_following/dataset/images/train/s00_000332.jpg,24364,9747
000277.png,yolo_lane_following/dataset/images/train/s00_000332_obs.jpg,24364,9747
000278.png,yolo_lane_following/dataset/images/train/s00_000334.jpg,16920,9619
000279.png,yolo_lane_following/dataset/images/train/s00_000336.jpg,17657,9010
000280.png,yolo_lane_following/dataset/images/train/s00_000336_obs.jpg,17427,9010
000281.png,yolo_lane_following/dataset/images/train/s00_000338.jpg,17743,8807
000282.png,yolo_lane_following/dataset/images/train/s00_000338_obs.jpg,17743,8807
000283.png,yolo_lane_following/dataset/images/train/s00_000340.jpg,17865,8678
000284.png,yolo_lane_following/dataset/images/train/s00_000340_obs.jpg,17608,8961
000285.png,yolo_lane_following/dataset/images/train/s00_000342.jpg,16294,8859
000286.png,yolo_lane_following/dataset/images/train/s00_000342_obs.jpg,16042,9126
000287.png,yolo_lane_following/dataset/images/train/s00_000344.jpg,17067,8893
000288.png,yolo_lane_following/dataset/images/train/s00_000346.jpg,17003,9290
000289.png,yolo_lane_following/dataset/images/train/s00_000346_obs.jpg,17003,9290
000290.png,yolo_lane_following/dataset/images/train/s00_000348.jpg,16874,10211
000291.png,yolo_lane_following/dataset/images/train/s00_000348_obs.jpg,16896,9917
000292.png,yolo_lane_following/dataset/images/train/s00_000350.jpg,16674,11392
000293.png,yolo_lane_following/dataset/images/train/s00_000350_obs.jpg,16501,11061
000294.png,yolo_lane_following/dataset/images/train/s00_000352.jpg,23613,11024
000295.png,yolo_lane_following/dataset/images/train/s00_000352_obs.jpg,23601,11148
000296.png,yolo_lane_following/dataset/images/train/s00_000354.jpg,22979,11984
000297.png,yolo_lane_following/dataset/images/train/s00_000354_obs.jpg,22635,12330
000298.png,yolo_lane_following/dataset/images/train/s00_000356.jpg,24581,10435
000299.png,yolo_lane_following/dataset/images/train/s00_000358.jpg,24673,10121
000300.png,yolo_lane_following/dataset/images/train/s00_000360.jpg,24293,10238
000301.png,yolo_lane_following/dataset/images/train/s00_000362.jpg,23738,10882
000302.png,yolo_lane_following/dataset/images/train/s00_000362_obs.jpg,24006,10623
000303.png,yolo_lane_following/dataset/images/train/s00_000364.jpg,23399,11258
000304.png,yolo_lane_following/dataset/images/train/s00_000366.jpg,23103,11476
000305.png,yolo_lane_following/dataset/images/train/s00_000366_obs.jpg,23458,11220
000306.png,yolo_lane_following/dataset/images/train/s00_000368.jpg,23120,11856
000307.png,yolo_lane_following/dataset/images/train/s00_000368_obs.jpg,23300,11682
000308.png,yolo_lane_following/dataset/images/train/s00_000370.jpg,23153,11649
000309.png,yolo_lane_following/dataset/images/train/s00_000372.jpg,23758,10951
000310.png,yolo_lane_following/dataset/images/train/s00_000374.jpg,23763,10975
000311.png,yolo_lane_following/dataset/images/train/s00_000376.jpg,23596,10874
000312.png,yolo_lane_following/dataset/images/train/s00_000376_obs.jpg,23232,10874
000313.png,yolo_lane_following/dataset/images/train/s00_000378.jpg,24094,10705
000314.png,yolo_lane_following/dataset/images/train/s00_000378_obs.jpg,24094,10702
000315.png,yolo_lane_following/dataset/images/train/s00_000380.jpg,22815,11704
000316.png,yolo_lane_following/dataset/images/train/s00_000382.jpg,23547,10794
000317.png,yolo_lane_following/dataset/images/train/s00_000382_obs.jpg,23603,10451
000318.png,yolo_lane_following/dataset/images/train/s00_000384.jpg,23570,10499
000319.png,yolo_lane_following/dataset/images/train/s00_000384_obs.jpg,23570,10499
000320.png,yolo_lane_following/dataset/images/train/s00_000386.jpg,23056,11488
000321.png,yolo_lane_following/dataset/images/train/s00_000386_obs.jpg,23093,11453
000322.png,yolo_lane_following/dataset/images/train/s00_000388.jpg,23783,10748
000323.png,yolo_lane_following/dataset/images/train/s00_000388_obs.jpg,23673,10524
000324.png,yolo_lane_following/dataset/images/train/s00_000390.jpg,22661,11745
000325.png,yolo_lane_following/dataset/images/train/s00_000392.jpg,22475,11931
000326.png,yolo_lane_following/dataset/images/train/s00_000392_obs.jpg,22029,12405
000327.png,yolo_lane_following/dataset/images/train/s00_000394.jpg,16923,10952
000328.png,yolo_lane_following/dataset/images/train/s00_000394_obs.jpg,16923,10950
000329.png,yolo_lane_following/dataset/images/train/s00_000396.jpg,16619,10778
000330.png,yolo_lane_following/dataset/images/train/s00_000398.jpg,16940,10947
000331.png,yolo_lane_following/dataset/images/train/s00_000398_obs.jpg,16460,10947
000332.png,yolo_lane_following/dataset/images/train/s00_000400.jpg,17148,11267
000333.png,yolo_lane_following/dataset/images/train/s00_000400_obs.jpg,17148,11026
000334.png,yolo_lane_following/dataset/images/train/s00_000402.jpg,17254,12046
000335.png,yolo_lane_following/dataset/images/train/s00_000404.jpg,17367,12172
000336.png,yolo_lane_following/dataset/images/train/s00_000406.jpg,17237,11604
000337.png,yolo_lane_following/dataset/images/train/s00_000408.jpg,16431,10375
000338.png,yolo_lane_following/dataset/images/train/s00_000410.jpg,25543,9163
000339.png,yolo_lane_following/dataset/images/train/s00_000410_obs.jpg,24789,9451
000340.png,yolo_lane_following/dataset/images/train/s00_000412.jpg,26807,7822
000341.png,yolo_lane_following/dataset/images/train/s00_000412_obs.jpg,26852,7784
000342.png,yolo_lane_following/dataset/images/train/s00_000414.jpg,28224,6603
000343.png,yolo_lane_following/dataset/images/train/s00_000416.jpg,29218,5785
000344.png,yolo_lane_following/dataset/images/train/s00_000416_obs.jpg,29218,5785
000345.png,yolo_lane_following/dataset/images/train/s00_000418.jpg,22329,6274
000346.png,yolo_lane_following/dataset/images/train/s00_000418_obs.jpg,19877,6627
000347.png,yolo_lane_following/dataset/images/train/s00_000420.jpg,17838,6954
000348.png,yolo_lane_following/dataset/images/train/s00_000422.jpg,16155,8424
000349.png,yolo_lane_following/dataset/images/train/s00_000422_obs.jpg,15925,8662
000350.png,yolo_lane_following/dataset/images/train/s00_000424.jpg,14827,9301
000351.png,yolo_lane_following/dataset/images/train/s00_000426.jpg,13663,9662
000352.png,yolo_lane_following/dataset/images/train/s00_000426_obs.jpg,14293,9278
000353.png,yolo_lane_following/dataset/images/train/s00_000428.jpg,13884,9098
000354.png,yolo_lane_following/dataset/images/train/s00_000430.jpg,13123,10126
000355.png,yolo_lane_following/dataset/images/train/s00_000430_obs.jpg,13123,10126
